Station_ID,Station_Name,Latitude,Longitude,Year,Start_Station_Counts,End_Station_Counts
433,E 13 St & Avenue A,40.72955361,-73.98057249,2017,2591,2554
434,9 Ave & W 18 St,40.74317449,-74.00366443,2017,956,972
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2017,6175,6273
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,2017,307,272
437,Macon St & Nostrand Ave,40.68098339,-73.95004798,2017,890,923
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,2017,2497,2599
439,E 4 St & 2 Ave,40.7262807,-73.98978041,2017,2588,2564
440,E 45 St & 3 Ave,40.75255434,-73.97282625,2017,1632,1630
441,E 52 St & 2 Ave,40.756014,-73.967416,2017,1812,1808
442,W 27 St & 7 Ave,40.746647,-73.993915,2017,3577,3645
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,2017,264,175
444,Broadway & W 24 St,40.7423543,-73.98915076,2017,3936,3924
445,E 10 St & Avenue A,40.72740794,-73.98142006,2017,3176,3403
446,W 24 St & 7 Ave,40.74487634,-73.99529885,2017,3723,3772
447,8 Ave & W 52 St,40.76370739,-73.9851615,2017,2422,2383
448,W 37 St & 10 Ave,40.75660359,-73.9979009,2017,2589,2616
449,W 52 St & 9 Ave,40.76461837,-73.98789473,2017,1564,1553
450,W 49 St & 8 Ave,40.76227205,-73.98788205,2017,3122,3106
453,W 22 St & 8 Ave,40.74475148,-73.99915362,2017,3012,3076
454,E 51 St & 1 Ave,40.75455731,-73.96592976,2017,1181,1193
455,1 Ave & E 44 St,40.75001986,-73.96905301,2017,1664,1718
456,E 53 St & Madison Ave,40.7597108,-73.97402311,2017,1419,1437
457,Broadway & W 58 St,40.76695317,-73.98169333,2017,3466,3275
458,11 Ave & W 27 St,40.751396,-74.005226,2017,3347,3351
459,W 20 St & 11 Ave,40.746745,-74.007756,2017,5430,5654
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,2017,1616,1631
461,E 20 St & 2 Ave,40.73587678,-73.98205027,2017,3160,3085
